"query","query_type","abridged_query","year","n","reference_n","comparison_percentage","average_comparison_percentage","topic"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,3,142,2.11267605633803,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,1,119,0.840336134453782,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,1,112,0.892857142857143,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,2,146,1.36986301369863,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,0,138,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,2,129,1.55038759689922,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,4,192,2.08333333333333,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,1,192,0.520833333333333,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,2,149,1.34228187919463,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,1,150,0.666666666666667,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,5,171,2.92397660818713,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,5,139,3.59712230215827,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,3,167,1.79640718562874,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,1,195,0.512820512820513,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,3,250,1.2,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,0,116,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1980,26,26,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1981,30,30,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1982,27,27,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1983,22,22,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1984,25,25,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1985,20,20,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1986,26,26,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1987,19,19,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1988,30,30,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1989,32,32,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1990,28,28,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1991,38,38,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1992,29,29,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1993,33,33,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1994,33,33,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1995,35,35,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1996,41,41,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1997,39,39,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1998,60,60,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",1999,60,60,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2000,49,49,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2001,52,52,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2002,67,67,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2003,76,76,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2004,85,85,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2005,96,96,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2006,123,123,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2007,125,125,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2008,145,145,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2009,149,149,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2010,195,195,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2011,182,182,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2012,228,228,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2013,219,219,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2014,226,226,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2015,250,250,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2016,249,249,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2017,260,260,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2018,244,244,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2019,234,234,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2020,319,319,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2021,331,331,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2022,301,301,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2023,359,359,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2024,482,482,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2025,519,519,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"")","reference","""language comprehension""",2026,325,325,100,100,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,26,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,30,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,0,27,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,0,22,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,0,25,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,1,20,5,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,26,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,19,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,30,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,32,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,28,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,0,38,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,29,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,33,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,0,33,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,1,35,2.85714285714286,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,1,41,2.4390243902439,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,0,39,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,60,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,0,60,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,49,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,0,52,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,67,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,0,76,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,1,85,1.17647058823529,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,0,96,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,1,123,0.813008130081301,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,1,125,0.8,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,1,145,0.689655172413793,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,1,149,0.671140939597315,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,0,195,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,0,182,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,2,228,0.87719298245614,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,0,219,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,1,226,0.442477876106195,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,0,250,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,3,249,1.20481927710843,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,0,260,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,0,244,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,1,234,0.427350427350427,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,1,319,0.313479623824451,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,2,331,0.604229607250755,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,2,301,0.664451827242525,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,1,359,0.278551532033426,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,0,482,0,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,1,519,0.192678227360308,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language comprehension"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,2,325,0.615384615384615,0.36680421824851,"language comprehension"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1980,111,111,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1981,104,104,100,100,"language disorders"
