"query","query_type","abridged_query","year","n","reference_n","comparison_percentage","average_comparison_percentage","topic"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1980,5,5,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1981,4,4,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1982,4,4,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1983,1,1,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1984,5,5,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1985,6,6,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1986,2,2,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1987,3,3,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1988,4,4,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1989,10,10,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1990,5,5,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1991,6,6,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1992,7,7,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1993,3,3,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1994,4,4,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1995,7,7,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1996,12,12,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1997,10,10,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1998,13,13,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",1999,14,14,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2000,35,35,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2001,23,23,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2002,32,32,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2003,46,46,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2004,32,32,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2005,74,74,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2006,91,91,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2007,80,80,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2008,97,97,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2009,81,81,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2010,153,153,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2011,142,142,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2012,119,119,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2013,112,112,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2014,146,146,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2015,138,138,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2016,129,129,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2017,192,192,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2018,192,192,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2019,149,149,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2020,150,150,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2021,171,171,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2022,139,139,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2023,167,167,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2024,195,195,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2025,250,250,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"")","reference","""language evolution"" OR ""evolution of language""",2026,116,116,100,100,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,5,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,4,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,0,4,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,0,1,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,0,5,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,0,6,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,2,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,3,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,4,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,10,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,5,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,0,6,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,7,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,3,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,0,4,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,0,7,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,1,12,8.33333333333333,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,0,10,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,13,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,1,14,7.14285714285714,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,35,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,1,23,4.34782608695652,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,32,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,1,46,2.17391304347826,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,0,32,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,3,74,4.05405405405405,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,0,91,0,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,2,80,2.5,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,2,97,2.06185567010309,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,2,81,2.46913580246914,1.4218009478673,"language evolution"
"TITLE-ABS-KEY(""language evolution"" OR ""evolution of language"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,1,153,0.65359477124183,1.4218009478673,"language evolution"
