"iso3","country","sector","mt"
"ABW","Aruba","Agriculture",0.002504239631675
"ABW","Aruba","Buildings",0.04541149167971
"ABW","Aruba","Fuel Exploitation",0.00255256922148435
"ABW","Aruba","Industrial Combustion",0.038148106156891
"ABW","Aruba","Power Industry",0.28175992929941
"ABW","Aruba","Processes",0.0068871389580932
"ABW","Aruba","Transport",0.193124883309421
"ABW","Aruba","Waste",0.0183280445276779
"AFG","Afghanistan","Agriculture",15.672131317649
"AFG","Afghanistan","Buildings",1.38452072101242
"AFG","Afghanistan","Fuel Exploitation",1.53692172812842
"AFG","Afghanistan","Industrial Combustion",3.54939619639133
"AFG","Afghanistan","Power Industry",2.92236063199399
"AFG","Afghanistan","Processes",1.13756442186746
"AFG","Afghanistan","Transport",4.38285172954119
"AFG","Afghanistan","Waste",2.44909334308373
"AGO","Angola","Agriculture",12.8526137356772
"AGO","Angola","Buildings",9.23646589686033
"AGO","Angola","Fuel Exploitation",26.7075140832547
"AGO","Angola","Industrial Combustion",1.68305538463965
"AGO","Angola","Power Industry",3.79066417354694
"AGO","Angola","Processes",3.03245501802518
"AGO","Angola","Transport",8.8410873896464
"AGO","Angola","Waste",3.77908309738227
"AIA","Anguilla","Buildings",1.6392412991871e-05
"AIA","Anguilla","Fuel Exploitation",0
"AIA","Anguilla","Industrial Combustion",0.000970297031336583
"AIA","Anguilla","Power Industry",0.000942245078844466
"AIA","Anguilla","Processes",0.000332993469805525
"AIA","Anguilla","Transport",0.0210855833288592
"AIA","Anguilla","Waste",0.0026876550838582
"AIR","International Aviation","Processes",3.5066034300017
"AIR","International Aviation","Transport",618.827558649001
"ALB","Albania","Agriculture",1.68860151830682
"ALB","Albania","Buildings",0.823391912971503
"ALB","Albania","Fuel Exploitation",0.382655113652828
"ALB","Albania","Industrial Combustion",0.928695852887283
"ALB","Albania","Power Industry",0
"ALB","Albania","Processes",1.10861730987247
"ALB","Albania","Transport",1.56504105049339
"ALB","Albania","Waste",0.627307808937455
"ANT","Curaçao","Agriculture",0.0073531230282316
"ANT","Curaçao","Buildings",0.142527639467368
"ANT","Curaçao","Fuel Exploitation",0
"ANT","Curaçao","Industrial Combustion",0.462619989541464
"ANT","Curaçao","Power Industry",0.546145613833346
"ANT","Curaçao","Processes",0.05860641213424
"ANT","Curaçao","Transport",1.2334921557064
"ANT","Curaçao","Waste",0.0419204559980872
"ARE","United Arab Emirates","Agriculture",2.1314372089557
"ARE","United Arab Emirates","Buildings",0.669615302209691
"ARE","United Arab Emirates","Fuel Exploitation",32.1589902143536
"ARE","United Arab Emirates","Industrial Combustion",75.3758530981894
"ARE","United Arab Emirates","Power Industry",61.9504708200054
"ARE","United Arab Emirates","Processes",45.0953796064581
"ARE","United Arab Emirates","Transport",38.8749321534171
"ARE","United Arab Emirates","Waste",7.89169533811417
"ARG","Argentina","Agriculture",141.000298016752
"ARG","Argentina","Buildings",40.6807806974729
"ARG","Argentina","Fuel Exploitation",34.4037507563753
"ARG","Argentina","Industrial Combustion",21.5983052773386
"ARG","Argentina","Power Industry",39.2959881605639
"ARG","Argentina","Processes",29.3967725661158
"ARG","Argentina","Transport",48.7969223843836
"ARG","Argentina","Waste",19.1717889895724
"ARM","Armenia","Agriculture",1.58813151079871
"ARM","Armenia","Buildings",2.39707301285506
"ARM","Armenia","Fuel Exploitation",0.56513577225564
"ARM","Armenia","Industrial Combustion",0.596367488791497
"ARM","Armenia","Power Industry",1.58206073904395
"ARM","Armenia","Processes",0.878016604803053
"ARM","Armenia","Transport",2.36008542066189
"ARM","Armenia","Waste",0.813704735785039
"ATG","Antigua and Barbuda","Agriculture",0.0179398880884496
"ATG","Antigua and Barbuda","Buildings",0.0287888260812521
"ATG","Antigua and Barbuda","Fuel Exploitation",0
"ATG","Antigua and Barbuda","Industrial Combustion",0.0244044278611068
"ATG","Antigua and Barbuda","Power Industry",0.180425711726394
"ATG","Antigua and Barbuda","Processes",0.0055494665041158
"ATG","Antigua and Barbuda","Transport",0.123718752671858
"ATG","Antigua and Barbuda","Waste",0.0460239255007356
"AUS","Australia","Agriculture",128.148403080709
"AUS","Australia","Buildings",20.7943300255563
"AUS","Australia","Fuel Exploitation",88.7045734940295
"AUS","Australia","Industrial Combustion",39.9419526728759
"AUS","Australia","Power Industry",163.923818918742
"AUS","Australia","Processes",30.8383764377204
"AUS","Australia","Transport",102.350319213499
"AUS","Australia","Waste",16.7521868287929
"AUT","Austria","Agriculture",7.21191849793152
"AUT","Austria","Buildings",7.46613969278279
"AUT","Austria","Fuel Exploitation",7.4775442688292
"AUT","Austria","Industrial Combustion",9.6983974134244
"AUT","Austria","Power Industry",10.1397275711401
"AUT","Austria","Processes",7.12154792048709
"AUT","Austria","Transport",20.2213142127609
"AUT","Austria","Waste",1.6633139323419
"AZE","Azerbaijan","Agriculture",9.23009206771668
"AZE","Azerbaijan","Buildings",10.3016482026863
"AZE","Azerbaijan","Fuel Exploitation",7.55142782496669
"AZE","Azerbaijan","Industrial Combustion",2.50089382094912
"AZE","Azerbaijan","Power Industry",12.0968183732153
"AZE","Azerbaijan","Processes",3.82546115109873
"AZE","Azerbaijan","Transport",9.88367446507904
"AZE","Azerbaijan","Waste",2.88976941693318
"BDI","Burundi","Agriculture",4.0906574330459
"BDI","Burundi","Buildings",0.846762598562534
"BDI","Burundi","Fuel Exploitation",1.09551981447941
"BDI","Burundi","Industrial Combustion",0.102193026691115
"BDI","Burundi","Power Industry",0.156515477959481
"BDI","Burundi","Processes",0.503804811027145
"BDI","Burundi","Transport",0.497615999810716
"BDI","Burundi","Waste",1.12865484827591
"BEL","Belgium","Agriculture",8.85233751981479
"BEL","Belgium","Buildings",20.4396589148586
"BEL","Belgium","Fuel Exploitation",10.7174459739862
"BEL","Belgium","Industrial Combustion",13.792868494005
"BEL","Belgium","Power Industry",12.7060078893535
"BEL","Belgium","Processes",14.829967034887
"BEL","Belgium","Transport",24.1619027124115
"BEL","Belgium","Waste",2.32383167267471
"BEN","Benin","Agriculture",5.4239516571921
"BEN","Benin","Buildings",1.02008564708549
"BEN","Benin","Fuel Exploitation",1.7425638773464
"BEN","Benin","Industrial Combustion",0.596941828293064
"BEN","Benin","Power Industry",0.532857897551982
"BEN","Benin","Processes",2.38822363170328
"BEN","Benin","Transport",4.48846708853925
"BEN","Benin","Waste",1.57396106694153
"BFA","Burkina Faso","Agriculture",19.7931128050044
"BFA","Burkina Faso","Buildings",2.4216025785595
"BFA","Burkina Faso","Fuel Exploitation",2.32851483256678
"BFA","Burkina Faso","Industrial Combustion",0.636044404269084
"BFA","Burkina Faso","Power Industry",0.979464494113086
"BFA","Burkina Faso","Processes",2.65361212302846
"BFA","Burkina Faso","Transport",3.11932245607139
"BFA","Burkina Faso","Waste",2.98607266701246
"BGD","Bangladesh","Agriculture",67.8230512281508
"BGD","Bangladesh","Buildings",16.5826312529287
