"iso3","country","hdi_2023","hdicode"
"AFG","Afghanistan",0.496,"Low"
"ALB","Albania",0.81,"Very High"
"DZA","Algeria",0.763,"High"
"AND","Andorra",0.913,"Very High"
"AGO","Angola",0.616,"Medium"
"ATG","Antigua and Barbuda",0.851,"Very High"
"ARG","Argentina",0.865,"Very High"
"ARM","Armenia",0.811,"Very High"
"AUS","Australia",0.958,"Very High"
"AUT","Austria",0.93,"Very High"
"AZE","Azerbaijan",0.789,"High"
"BHS","Bahamas",0.82,"Very High"
"BHR","Bahrain",0.899,"Very High"
"BGD","Bangladesh",0.685,"Medium"
"BRB","Barbados",0.811,"Very High"
"BLR","Belarus",0.824,"Very High"
"BEL","Belgium",0.951,"Very High"
"BLZ","Belize",0.721,"High"
"BEN","Benin",0.515,"Low"
"BTN","Bhutan",0.698,"Medium"
"BOL","Bolivia (Plurinational State of)",0.733,"High"
"BIH","Bosnia and Herzegovina",0.804,"Very High"
"BWA","Botswana",0.731,"High"
"BRA","Brazil",0.786,"High"
"BRN","Brunei Darussalam",0.837,"Very High"
"BGR","Bulgaria",0.845,"Very High"
"BFA","Burkina Faso",0.459,"Low"
"BDI","Burundi",0.439,"Low"
"CPV","Cabo Verde",0.668,"Medium"
"KHM","Cambodia",0.606,"Medium"
"CMR","Cameroon",0.588,"Medium"
"CAN","Canada",0.939,"Very High"
"CAF","Central African Republic",0.414,"Low"
"TCD","Chad",0.416,"Low"
"CHL","Chile",0.878,"Very High"
"CHN","China",0.797,"High"
"COL","Colombia",0.788,"High"
"COM","Comoros",0.603,"Medium"
"COG","Congo",0.649,"Medium"
"COD","Congo (Democratic Republic of the)",0.522,"Low"
"CRI","Costa Rica",0.833,"Very High"
"HRV","Croatia",0.889,"Very High"
"CUB","Cuba",0.762,"High"
"CYP","Cyprus",0.913,"Very High"
"CZE","Czechia",0.915,"Very High"
"CIV","Côte d'Ivoire",0.582,"Medium"
"DNK","Denmark",0.962,"Very High"
"DJI","Djibouti",0.513,"Low"
"DMA","Dominica",0.761,"High"
"DOM","Dominican Republic",0.776,"High"
"ECU","Ecuador",0.777,"High"
"EGY","Egypt",0.754,"High"
"SLV","El Salvador",0.678,"Medium"
"GNQ","Equatorial Guinea",0.674,"Medium"
"ERI","Eritrea",0.503,"Low"
"EST","Estonia",0.905,"Very High"
"SWZ","Eswatini (Kingdom of)",0.695,"Medium"
"ETH","Ethiopia",0.497,"Low"
"FJI","Fiji",0.731,"High"
"FIN","Finland",0.948,"Very High"
"FRA","France",0.92,"Very High"
"GAB","Gabon",0.733,"High"
"GMB","Gambia",0.524,"Low"
"GEO","Georgia",0.844,"Very High"
"DEU","Germany",0.959,"Very High"
"GHA","Ghana",0.628,"Medium"
"GRC","Greece",0.908,"Very High"
"GRD","Grenada",0.791,"High"
"GTM","Guatemala",0.662,"Medium"
"GIN","Guinea",0.5,"Low"
"GNB","Guinea-Bissau",0.514,"Low"
"GUY","Guyana",0.776,"High"
"HTI","Haiti",0.554,"Medium"
"HND","Honduras",0.645,"Medium"
"HKG","Hong Kong, China (SAR)",0.955,"Very High"
"HUN","Hungary",0.87,"Very High"
"ISL","Iceland",0.972,"Very High"
"IND","India",0.685,"Medium"
"IDN","Indonesia",0.728,"High"
"IRN","Iran (Islamic Republic of)",0.799,"High"
"IRQ","Iraq",0.695,"Medium"
"IRL","Ireland",0.949,"Very High"
"ISR","Israel",0.919,"Very High"
"ITA","Italy",0.915,"Very High"
"JAM","Jamaica",0.72,"High"
"JPN","Japan",0.925,"Very High"
"JOR","Jordan",0.754,"High"
"KAZ","Kazakhstan",0.837,"Very High"
"KEN","Kenya",0.628,"Medium"
"KIR","Kiribati",0.644,"Medium"
"PRK","Korea (Democratic People's Rep. of)",NA,"Other Countries or Territories"
"KOR","Korea (Republic of)",0.937,"Very High"
"KWT","Kuwait",0.852,"Very High"
"KGZ","Kyrgyzstan",0.72,"High"
"LAO","Lao People's Democratic Republic",0.617,"Medium"
"LVA","Latvia",0.889,"Very High"
"LBN","Lebanon",0.752,"High"
"LSO","Lesotho",0.55,"Medium"
"LBR","Liberia",0.51,"Low"
"LBY","Libya",0.721,"High"
"LIE","Liechtenstein",0.938,"Very High"
"LTU","Lithuania",0.895,"Very High"
"LUX","Luxembourg",0.922,"Very High"
"MDG","Madagascar",0.487,"Low"
"MWI","Malawi",0.517,"Low"
"MYS","Malaysia",0.819,"Very High"
"MDV","Maldives",0.766,"High"
"MLI","Mali",0.419,"Low"
"MLT","Malta",0.924,"Very High"
"MHL","Marshall Islands",0.733,"High"
"MRT","Mauritania",0.563,"Medium"
"MUS","Mauritius",0.806,"Very High"
"MEX","Mexico",0.789,"High"
"FSM","Micronesia (Federated States of)",0.615,"Medium"
"MDA","Moldova (Republic of)",0.785,"High"
"MCO","Monaco",NA,"Other Countries or Territories"
"MNG","Mongolia",0.747,"High"
"MNE","Montenegro",0.862,"Very High"
"MAR","Morocco",0.71,"High"
"MOZ","Mozambique",0.493,"Low"
"MMR","Myanmar",0.609,"Medium"
"NAM","Namibia",0.665,"Medium"
"NRU","Nauru",0.703,"High"
"NPL","Nepal",0.622,"Medium"
"NLD","Netherlands",0.955,"Very High"
"NZL","New Zealand",0.938,"Very High"
"NIC","Nicaragua",0.706,"High"
"NER","Niger",0.419,"Low"
"NGA","Nigeria",0.56,"Medium"
"MKD","North Macedonia",0.815,"Very High"
"NOR","Norway",0.97,"Very High"
"OMN","Oman",0.858,"Very High"
"PAK","Pakistan",0.544,"Low"
"PLW","Palau",0.786,"High"
"PSE","Palestine, State of",0.674,"Medium"
"PAN","Panama",0.839,"Very High"
"PNG","Papua New Guinea",0.576,"Medium"
"PRY","Paraguay",0.756,"High"
"PER","Peru",0.794,"High"
"PHL","Philippines",0.72,"High"
"POL","Poland",0.906,"Very High"
"PRT","Portugal",0.89,"Very High"
"QAT","Qatar",0.886,"Very High"
"ROU","Romania",0.845,"Very High"
"RUS","Russian Federation",0.832,"Very High"
"RWA","Rwanda",0.578,"Medium"
"KNA","Saint Kitts and Nevis",0.84,"Very High"
"LCA","Saint Lucia",0.748,"High"
"VCT","Saint Vincent and the Grenadines",0.798,"High"
"WSM","Samoa",0.708,"High"
"SMR","San Marino",0.915,"Very High"
"STP","Sao Tome and Principe",0.637,"Medium"
"SAU","Saudi Arabia",0.9,"Very High"
"SEN","Senegal",0.53,"Low"
"SRB","Serbia",0.833,"Very High"
"SYC","Seychelles",0.848,"Very High"
"SLE","Sierra Leone",0.467,"Low"
"SGP","Singapore",0.946,"Very High"
"SVK","Slovakia",0.88,"Very High"
"SVN","Slovenia",0.931,"Very High"
"SLB","Solomon Islands",0.584,"Medium"
"SOM","Somalia",0.404,"Low"
"ZAF","South Africa",0.741,"High"
"SSD","South Sudan",0.388,"Low"
"ESP","Spain",0.918,"Very High"
"LKA","Sri Lanka",0.776,"High"
"SDN","Sudan",0.511,"Low"
"SUR","Suriname",0.722,"High"
"SWE","Sweden",0.959,"Very High"
"CHE","Switzerland",0.97,"Very High"
"SYR","Syrian Arab Republic",0.564,"Medium"
"TJK","Tajikistan",0.691,"Medium"
"TZA","Tanzania (United Republic of)",0.555,"Medium"
"THA","Thailand",0.798,"High"
"TLS","Timor-Leste",0.634,"Medium"
"TGO","Togo",0.571,"Medium"
"TON","Tonga",0.769,"High"
"TTO","Trinidad and Tobago",0.807,"Very High"
