"iso3","country","hdi_2023","hdicode"
"TUN","Tunisia",0.746,"High"
"TKM","Turkmenistan",0.764,"High"
"TUV","Tuvalu",0.689,"Medium"
"TUR","Türkiye",0.853,"Very High"
"UGA","Uganda",0.582,"Medium"
"UKR","Ukraine",0.779,"High"
"ARE","United Arab Emirates",0.94,"Very High"
"GBR","United Kingdom",0.946,"Very High"
"USA","United States",0.938,"Very High"
"URY","Uruguay",0.862,"Very High"
"UZB","Uzbekistan",0.74,"High"
"VUT","Vanuatu",0.621,"Medium"
"VEN","Venezuela (Bolivarian Republic of)",0.709,"High"
"VNM","Viet Nam",0.766,"High"
"YEM","Yemen",0.47,"Low"
"ZMB","Zambia",0.595,"Medium"
"ZWE","Zimbabwe",0.598,"Medium"
